ISBN,Title,Author,Original Price,Discounted price,ISBN-10,Series,Published,Format,Language,Number of Pages,Audience,For Ages,For Grades,Publisher,Country of Publication,Dimensions (cm),Weight (kg),Volume Number,Edition Type,Edition Number
9780141964591,Where Good Ideas Come From,Steven Johnson,,15.99,0141964596,,7th October 2010,ePUB,English,336,Professional and Scholarly,,,Penguin Books Ltd,,,,,,
9780997720105,Claiming the Dragon King,Amelia Hutchins,,6.99,0997720107,The Elite Guard Novels,10th July 2018,ePUB,English,,,,,Amelia Hutchins,,,,,,
9780241192061,,,,,,,,,,,,,,,,,,,,
9780670923090,The Boy with the Topknot,Sathnam Sanghera,,15.99,0670923095,,29th November 2012,ePUB,English,336,General Adult,,,Penguin Books Ltd,,,,,Digital original,
9780857081025,The Art of War,Sun Tzu,,16.99,0857081020,,16th May 2016,ePUB,English,220,General Adult,,,Wiley,GB,,,,,1
9780753549063,Lean In,Sheryl Sandberg,,18.99,0753549069,,12th March 2013,ePUB,English,240,General Adult,,,Ebury Publishing,,,,,,1
9780141965550,The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,,9.99,014196555X,Heroes of Olympus  Book 1,12th October 2010,ePUB,English,576,Children,9 - 12 years old,,Penguin Random House Children's UK,,,,1,,
9780141909653,The Other Side of the Story,Marian Keyes,,15.99,014190965X,,10th March 2005,ePUB,English,656,General Adult,,,Penguin Books Ltd,,,,,,
9780755351473,Another Woman,Penny Vincenzi,,12.99,0755351479,,4th September 2008,ePUB,English,640,General Adult,,,Headline,,,,,Digital original,
9780141959856,Titmuss Regained,John Mortimer,,15.99,0141959851,Penguin Modern Classics,4th November 2010,ePUB,English,272,General Adult,0 - 2 years old,,Penguin Books Ltd,,,,,,
9781306291859,Thor & Loki,Jeff Limke,,,1306291852,,1st January 2006,E-Book,English,52,General Adult,,,Graphic Universe,US,,,,,
9780141905570,Thin,Grace Bowman,,18.99,0141905573,,25th January 2007,ePUB,English,304,General Adult,0 - 2 years old,,Penguin Books Ltd,,,,,,
9780755384761,Shadow of Night,Deborah Harkness,,13.99,0755384768,All Souls,10th July 2012,ePUB,English,605,General Adult,,,Headline,,,,2,Digital original,
9780748117468,Lover Mine,J. R. Ward,,11.99,0748117466,Black Dagger Brotherhood  Book 8,6th May 2010,ePUB,English,544,General Adult,,,"Little, Brown Book Group",,,,8,Digital original,
9780804179041,Uprooted,Naomi Novik,,,0804179042,,1st January 2015,E-Book,English,,General Adult,,,Random House Publishing Group,US,,,,,
9781407011349,Going Dutch,Katie Fforde,,15.99,1407011340,,7th December 2010,ePUB,English,432,General Adult,,,Random House,,,,,,
9780307414250,,,,,,,,,,,,,,,,,,,,
9780730363996,Xero For Dummies,Heather Smith,,,0730363996,,11th March 2019,ePUB,English,472,General Adult,,,Wiley,AU,,,,,4
9780755387052,1st to Die,James Patterson,,12.99,0755387058,Women's Murder Club  Book 1,23rd June 2011,ePUB,English,375,General Adult,,,Headline,,,,1,Digital original,
9781407068060,Night Frost,R D Wingfield,,15.99,1407068067,DI Jack Frost  Book 3,27th April 2010,ePUB,English,432,General Adult,,,Transworld,,,,3,,
9780241986233,Notes to Self,Emilie Pine,,15.99,0241986230,,31st January 2019,ePUB,English,192,General Adult,,,Penguin Books Ltd,,,,,,
9780547607955,The French Slow Cooker,Michele Scicolone,39.59,31.99,0547607954,,16th April 2024,ePUB,English,240,,,,HarperCollins,,,,,,
9780241361863,Dear Evan Hansen,Val Emmich,,12.99,0241361869,,9th October 2018,ePUB,English,368,Children,9 - 12 years old,,Penguin Random House Children's UK,,,,,,
9780141900940,Hope,Lesley Pearse,,15.99,0141900946,,11th January 2007,ePUB,English,688,General Adult,,,Penguin Books Ltd,,,,,,
9780330469289,A Dedicated Man,Peter Robinson,,,0330469282,,4th September 2008,ePUB,English,,,,,,,,,,,
9780241352533,A Short History of Europe,Simon Jenkins,,15.99,0241352533,,8th November 2018,ePUB,English,400,General Adult,,,Penguin Books Ltd,,,,,,
9780141941295,Arnhem,Antony Beevor,,14.99,0141941294,,17th May 2018,ePUB,English,496,General Adult,,,Penguin Books Ltd,,,,,,
9781108337519,There Is No Planet B,Mike Berners-Lee,,18.95,1108337511,,28th February 2019,PDF,English,,,,,Cambridge University Press,,,,,,
9780241974933,Paradise Lodge,Nina Stibbe,,15.99,0241974933,The Lizzie Vogel Series  Book 2,2nd June 2016,ePUB,English,320,General Adult,,,Penguin Books Ltd,,,,2,,
9780717155651,Strumpet City,James Plunkett,,8.99,071715565X,,22nd February 2013,ePUB,English,560,General Adult,,,Gill Books,,,,,,
9781281371973,Introducing Postmodernism,Richard Appignanesi,,,1281371971,,1st January 2004,E-Book,English,191,General Adult,,,Icon Books Limited,US,,,,,2
9780297857440,,,,,,,,,,,,,,,,,,,,
9780316448284,"I've Been Killing Slimes for 300 Years and Maxed Out My Level, Vol. 1",Kisetsu Morita,17.60,16.99,0316448281,I've Been Killing Slimes for 300 Years and Maxed Out My Level  Book 1,24th April 2018,ePUB,English,,,,,Yen Press,,,,1,,
9780241963913,Mr Loverman,Bernardine Evaristo,,15.99,0241963915,,29th August 2013,ePUB,English,288,General Adult,,,Penguin Books Ltd,,,,,,
9780307422316,,,,,,,,,,,,,,,,,,,,
9780307514929,The Bridge at Remagen,Ken Hechler,14.66,11.99,0307514927,,25th March 2009,ePUB,English,,,,,Random House Publishing Group,,,,,,
